ID_cliente,Altura_cm,Peso_kg,Gasto_mensual,Años_experiencia,Compras_mes,Región,Nivel_estudios
58,166.9,73.7,1085.0,4.5,2.0,Sur,Grado
59,173.3,79.8,1502.0,4.9,1.0,Este,Máster
60,179.8,77.6,1027.0,6.2,7.0,Oeste,Doctorado
61,165.2,60.1,1451.0,5.4,5.0,Norte,Básica
62,168.1,63.3,861.0,2.3,3.0,Sur,Grado
63,158.9,79.0,1359.0,5.8,2.0,Este,Máster
64,158.0,77.3,1632.0,6.2,3.0,Oeste,Doctorado
65,178.1,69.7,459.0,6.1,2.0,Norte,Básica
66,183.6,71.4,961.0,7.2,4.0,Sur,Grado
67,169.3,85.3,1373.0,6.7,3.0,Este,Máster
68,180.0,62.9,1139.0,5.9,3.0,Oeste,Doctorado
69,173.6,76.6,1311.0,4.9,6.0,Norte,Básica
70,163.5,67.6,1019.0,1.7,1.0,Sur,Grado
71,173.6,67.4,1226.0,5.9,4.0,Este,Máster
72,185.4,83.2,1153.0,5.4,2.0,Oeste,Doctorado
73,169.6,79.9,1550.0,5.5,2.0,Norte,Básica
74,185.6,79.8,1276.0,2.4,3.0,Sur,Grado
75,143.8,85.7,1301.0,2.8,3.0,Este,Máster
76,178.2,70.3,1076.0,7.1,1.0,Oeste,Doctorado
77,170.9,78.2,1054.0,4.9,3.0,Norte,Básica
78,167.0,66.3,1070.0,6.4,2.0,Sur,Grado
79,170.9,73.9,1318.0,5.1,4.0,Este,Máster
80,150.1,68.4,1074.0,5.1,6.0,Oeste,Doctorado
81,167.8,71.2,1287.0,6.9,5.0,Norte,Básica
82,173.6,77.1,1823.0,4.0,5.0,Sur,Grado
83,184.8,60.2,1461.0,5.2,3.0,Este,Máster
84,164.8,95.1,1102.0,4.1,3.0,Oeste,Doctorado
85,161.9,57.9,1560.0,4.1,0.0,Norte,Básica
86,165.0,55.4,1078.0,4.4,3.0,Sur,Grado
87,179.2,83.9,589.0,5.4,4.0,Este,Máster
88,173.3,79.5,898.0,4.0,6.0,Oeste,Doctorado
89,164.7,77.5,639.0,7.5,,Norte,Básica
90,175.1,77.5,1095.0,3.2,1.0,Sur,Grado
91,171.0,69.9,1206.0,4.6,2.0,Este,Máster
92,179.7,59.2,1703.0,4.1,2.0,Oeste,Doctorado
93,163.0,70.9,1298.0,7.9,1.0,Norte,Básica
94,166.7,61.9,1134.0,5.4,,Sur,Grado
95,166.1,81.7,1449.0,7.1,5.0,Este,Máster
96,155.4,68.2,537.0,2.0,,Oeste,Doctorado
97,173.0,60.1,1271.0,5.5,4.0,Norte,Básica
98,172.6,66.1,1431.0,6.8,2.0,Sur,Grado
99,170.1,75.0,756.0,5.2,5.0,Este,Máster
100,167.7,63.2,1543.0,7.1,4.0,Oeste,Doctorado
101,155.8,60.1,1302.0,4.0,3.0,Norte,Básica
102,165.8,72.9,1075.0,7.8,4.0,Sur,Grado
103,166.6,72.9,1390.0,9.6,0.0,Este,Máster
104,162.0,63.9,1881.0,4.3,2.0,Oeste,Doctorado
105,168.4,64.3,1255.0,4.1,2.0,Norte,Básica
106,174.0,72.8,1274.0,7.9,3.0,Sur,Grado
107,188.9,52.6,1062.0,8.2,5.0,Este,Máster
108,171.7,53.1,945.0,4.0,3.0,Oeste,Doctorado
109,172.6,61.4,1449.0,4.2,5.0,Norte,Básica
110,169.3,67.4,943.0,4.4,2.0,Sur,Grado
111,150.8,73.7,1221.0,2.3,4.0,Este,Máster
112,169.7,87.7,1057.0,3.2,5.0,Oeste,Doctorado
113,170.6,80.3,1344.0,3.0,2.0,Norte,Básica
114,194.6,68.1,1300.0,3.5,1.0,Sur,Grado
115,168.1,69.8,1511.0,4.9,0.0,Este,Máster
116,173.0,58.0,1047.0,5.5,4.0,Oeste,Doctorado
117,169.7,69.8,1119.0,8.1,3.0,Norte,Básica
118,158.3,66.5,906.0,3.0,4.0,Sur,Grado
119,181.4,73.9,1067.0,7.0,1.0,Este,Máster
120,177.5,60.1,1313.0,4.6,1.0,Oeste,Doctorado
121,177.9,76.2,1427.0,4.9,2.0,Norte,Básica
122,160.9,88.4,923.0,6.3,2.0,Sur,Grado
123,184.0,68.7,1461.0,2.8,1.0,Este,Máster
124,156.0,74.8,1607.0,5.8,,Oeste,Doctorado
125,175.9,78.3,1324.0,5.3,5.0,Norte,Básica
126,191.9,65.2,1763.0,6.0,2.0,Sur,Grado
127,160.1,72.7,968.0,5.6,3.0,Este,Máster
128,164.3,70.2,827.0,9.9,4.0,Oeste,Doctorado
129,171.0,71.2,666.0,3.7,2.0,Norte,Básica
130,165.0,60.7,1649.0,3.9,2.0,Sur,Grado
131,154.5,70.3,1396.0,3.8,2.0,Este,Máster
132,170.7,76.0,1183.0,3.9,5.0,Oeste,Doctorado
133,159.4,87.4,1284.0,3.7,3.0,Norte,Básica
134,174.7,81.5,862.0,7.4,2.0,Sur,Grado
135,160.8,95.8,1934.0,7.8,4.0,Este,Máster
136,185.5,60.8,1239.0,3.9,7.0,Oeste,Doctorado
137,162.2,80.5,1233.0,3.3,1.0,Norte,Básica
138,166.8,72.2,1418.0,5.9,7.0,Sur,Grado
139,178.1,96.3,1344.0,3.9,3.0,Este,Máster
140,157.7,60.3,1267.0,6.3,1.0,Oeste,Doctorado
141,172.3,59.9,963.0,5.4,2.0,Norte,Básica
142,183.1,62.8,1341.0,2.0,1.0,Sur,Grado
143,153.9,44.5,1765.0,8.1,4.0,Este,Máster
144,171.8,63.7,1604.0,8.6,3.0,Oeste,Doctorado
145,172.6,60.9,1678.0,3.8,2.0,Norte,Básica
146,177.8,71.8,1047.0,4.2,1.0,Sur,Grado
147,157.6,74.1,903.0,5.6,2.0,Este,Máster
148,156.8,92.5,1162.0,5.7,3.0,Oeste,Doctorado
149,175.2,81.4,1217.0,6.3,3.0,Norte,Básica
150,173.0,63.1,1528.0,9.0,1.0,Sur,Grado
151,172.5,59.2,692.0,4.6,7.0,Este,Máster
152,173.5,75.9,1659.0,3.4,2.0,Oeste,Doctorado
153,163.2,54.2,1153.0,2.2,3.0,Norte,Básica
154,172.3,92.0,1072.0,3.5,4.0,Sur,Grado
155,172.9,84.2,896.0,4.9,3.0,Este,Máster
156,162.9,64.4,704.0,8.6,6.0,Oeste,Doctorado
157,188.7,49.4,1447.0,4.0,5.0,Norte,Básica
158,174.7,86.2,1222.0,5.4,2.0,Sur,Grado
159,158.1,68.6,813.0,5.0,1.0,Este,Máster
160,176.6,84.9,811.0,7.4,5.0,Oeste,Doctorado
161,160.3,50.9,1099.0,10.1,3.0,Norte,Básica
162,177.9,62.8,1701.0,3.9,5.0,Sur,Grado
163,181.6,70.1,1122.0,4.0,1.0,Este,Máster
164,161.8,70.6,749.0,7.1,3.0,Oeste,Doctorado
165,179.6,64.6,1126.0,6.4,3.0,Norte,Básica
166,174.1,77.5,1118.0,8.7,3.0,Sur,Grado
167,178.2,57.2,391.0,6.2,2.0,Este,Máster
168,189.0,68.3,1184.0,4.3,1.0,Oeste,Doctorado
169,167.5,71.4,1131.0,6.2,4.0,Norte,Básica
170,162.5,76.2,1409.0,7.2,1.0,Sur,Grado
171,161.1,78.5,1755.0,6.6,,Este,Máster
172,161.8,56.5,1538.0,6.0,2.0,Oeste,Doctorado
173,169.2,51.6,1119.0,7.1,3.0,Norte,Básica
174,173.4,85.3,868.0,7.3,3.0,Sur,Grado
175,172.8,74.0,1972.0,7.8,6.0,Este,Máster
176,178.3,61.0,1218.0,6.3,2.0,Oeste,Doctorado
177,170.1,88.6,1204.0,4.7,1.0,Norte,Básica
178,184.5,71.4,1193.0,5.3,5.0,Sur,Grado
179,167.4,84.2,1259.0,7.4,2.0,Este,Máster
180,197.2,70.8,1157.0,3.4,6.0,Oeste,Doctorado
181,176.3,94.7,1028.0,5.7,3.0,Norte,Básica
182,161.4,91.1,1036.0,4.2,4.0,Sur,Grado
183,159.3,67.0,1190.0,5.1,2.0,Este,Máster
184,174.8,81.7,1037.0,7.6,0.0,Oeste,Doctorado
185,167.8,77.7,986.0,5.4,3.0,Norte,Básica
186,177.1,86.4,1232.0,5.1,5.0,Sur,Grado
187,174.7,58.4,1124.0,2.3,3.0,Este,Máster
188,169.3,78.2,1651.0,6.5,2.0,Oeste,Doctorado
189,161.5,82.7,405.0,6.3,3.0,Norte,Básica
190,154.9,48.9,1527.0,9.3,3.0,Sur,Grado
191,165.5,55.8,1574.0,4.4,2.0,Este,Máster
192,178.6,45.5,578.0,5.4,2.0,Oeste,Doctorado
193,172.1,66.8,1097.0,5.5,3.0,Norte,Básica
194,157.5,78.6,1089.0,8.2,2.0,Sur,Grado
195,171.7,88.0,778.0,4.8,,Este,Máster
196,173.9,70.9,967.0,5.6,2.0,Oeste,Doctorado
197,161.2,89.5,867.0,6.2,4.0,Norte,Básica
198,171.5,53.4,1726.0,5.4,4.0,Sur,Grado
199,170.6,49.6,1481.0,4.1,4.0,Este,Máster
200,158.6,69.3,1581.0,5.4,3.0,Oeste,Doctorado
201,173.6,74.6,1417.0,7.1,3.0,Norte,Básica
202,175.6,69.6,861.0,2.9,1.0,Sur,Grado
203,180.8,45.2,1043.0,5.3,4.0,Este,Máster
204,180.5,68.9,1347.0,3.6,2.0,Oeste,Doctorado
205,156.2,54.3,833.0,7.4,2.0,Norte,Básica
206,160.6,78.0,1414.0,2.0,2.0,Sur,Grado
207,175.2,74.4,1128.0,3.9,6.0,Este,Máster
208,175.1,58.7,1088.0,5.8,1.0,Oeste,Doctorado
209,175.2,63.8,1413.0,8.1,2.0,Norte,Básica
210,208.5,57.3,1333.0,4.9,2.0,Sur,Grado
211,175.7,69.2,1092.0,3.9,2.0,Este,Máster
212,181.4,81.5,1548.0,8.8,5.0,Oeste,Doctorado
213,179.5,58.2,876.0,2.1,3.0,Norte,Básica
214,176.5,76.0,1385.0,0.6,1.0,Sur,Grado
215,166.8,63.6,1378.0,5.9,,Este,Máster
216,177.6,60.5,1107.0,4.0,5.0,Oeste,Doctorado
217,162.3,68.7,1298.0,3.0,4.0,Norte,Básica
218,167.6,57.6,825.0,6.4,4.0,Sur,Grado
219,165.1,63.4,1477.0,5.5,5.0,Este,Máster
220,170.8,55.6,1145.0,3.9,2.0,Oeste,Doctorado
221,193.1,93.6,1043.0,2.4,3.0,Norte,Básica
222,151.3,70.4,1515.0,6.7,2.0,Sur,Grado
223,176.9,61.6,989.0,6.3,8.0,Este,Máster
224,153.9,72.6,777.0,4.8,3.0,Oeste,Doctorado
225,165.3,68.7,733.0,8.7,4.0,Norte,Básica
226,180.9,67.3,1382.0,2.9,5.0,Sur,Grado
227,170.6,77.4,816.0,1.9,4.0,Este,Máster
228,159.2,79.1,1726.0,3.6,3.0,Oeste,Doctorado
229,162.8,63.6,575.0,4.9,,Norte,Básica
230,176.8,63.1,1709.0,5.5,1.0,Sur,Grado
231,162.7,66.7,1263.0,4.5,4.0,Este,Máster
232,172.2,42.4,1171.0,5.7,4.0,Oeste,Doctorado
233,170.5,51.8,1037.0,2.5,,Norte,Básica
234,163.5,86.4,1320.0,7.9,2.0,Sur,Grado
235,191.4,89.7,1189.0,4.8,5.0,Este,Máster
236,176.3,67.0,1531.0,7.2,1.0,Oeste,Doctorado
237,149.7,76.9,1234.0,5.7,7.0,Norte,Básica
238,171.9,73.7,1245.0,5.9,,Sur,Grado
239,163.4,106.9,1091.0,6.1,4.0,Este,Máster
240,178.5,83.4,1183.0,5.9,2.0,Oeste,Doctorado
25,164.6,67.0,1005.0,6.0,4.0,Norte,Básica
7,185.8,64.3,1006.0,5.0,1.0,Este,Máster
94,166.7,61.9,1134.0,5.4,,Sur,Grado
110,169.3,67.4,943.0,4.4,2.0,Sur,Grado
105,168.4,64.3,1255.0,4.1,2.0,Norte,Básica
173,169.2,51.6,1119.0,7.1,3.0,Norte,Básica
234,163.5,86.4,1320.0,7.9,2.0,Sur,Grado
