user_id,age,monthly_hours,watching_peak_time,preferred_content_type,preferred_genre,binge_watcher,subscription_type,platform_frequency,gender
31,48.0,"118,76017279971047",Night,Documentaries,Science Fiction,1.0,Family,Weekly,Man
32,41.0,"145,16432091201028",Night,Documentaries,Science Fiction,1.0,Family,Weekly,Woman
33,35.0,nan,Night,Documentaries,Horror,0.0,Family,Weekly,Woman
34,37.0,"247,86639309083915",Afternoon,Documentaries,Science Fiction,0.0,Family,Occasional,Man
35,45.0,"166,93542748852454",Afternoon,Documentaries,Drama,0.0,Family,Weekly,Woman
36,54.0,"149,78249620302896",Afternoon,Movies,Science Fiction,1.0,Family,Daily,Woman
37,44.0,"167,7213421172631",Afternoon,Documentaries,Drama,0.0,Family,Weekly,Man
38,45.0,"140,3903735298028",Night,Documentaries,Horror,1.0,Family,Weekly,Man
39,43.0,"192,53847257454143",Night,Movies,Drama,1.0,Family,Weekly,Man
40,57.0,"186,87065420256957",Afternoon,Movies,Science Fiction,1.0,Family,Weekly,Woman
41,39.0,"201,56174311359027",Afternoon,Documentaries,Science Fiction,0.0,Premium,Weekly,Man
42,28.0,"198,35848847288472",Night,Documentaries,Drama,0.0,Family,Weekly,Man
43,40.0,"136,96189686780886",Afternoon,Documentaries,Horror,1.0,Family,Weekly,Woman
44,54.0,"164,59309967515756",Afternoon,Movies,Science Fiction,1.0,Family,Daily,Woman
45,29.0,"82,06853085433559",Night,Anime,Science Fiction,0.0,Premium,Weekly,Man
46,41.0,"197,1960132057996",Afternoon,Documentaries,Science Fiction,0.0,Family,Weekly,Man
47,37.0,"125,58800639230074",Night,Documentaries,Drama,0.0,Premium,Weekly,Man
48,50.0,"151,64355460517822",Night,Documentaries,Drama,1.0,Family,Weekly,Woman
49,37.0,nan,Afternoon,Anime,Science Fiction,0.0,Family,Weekly,Man
50,47.0,"137,7681731789985",Night,Anime,Horror,0.0,Premium,Weekly,Woman
51,46.0,"145,23273551790814",Afternoon,Documentaries,Science Fiction,0.0,Premium,Weekly,Man
52,40.0,"84,90694143208493",Afternoon,Documentaries,Science Fiction,1.0,Family,Weekly,Man
53,45.0,"139,14440299541465",Afternoon,Documentaries,Science Fiction,1.0,Family,Weekly,Man
54,37.0,"199,78871289296893",Afternoon,Movies,Drama,0.0,Family,Weekly,Woman
55,42.0,"184,44445822536525",Night,Movies,Drama,1.0,Family,Weekly,Man
56,31.0,"213,78605165286817",Afternoon,Documentaries,Drama,0.0,Premium,Weekly,Woman
57,51.0,"115,1714326326699",Night,Anime,Horror,1.0,Family,Weekly,Man
58,40.0,"210,859694248553",Afternoon,Documentaries,Drama,0.0,Family,Occasional,Man
59,43.0,"147,4294453060347",Afternoon,Documentaries,Drama,0.0,Premium,Weekly,Woman
60,59.0,"155,34599654379647",Night,Movies,Science Fiction,1.0,,Weekly,Man
61,40.0,"213,9532058576445",Night,Documentaries,Science Fiction,0.0,Family,Weekly,Woman
62,52.0,"151,11188305038968",Night,Documentaries,Science Fiction,1.0,Family,Weekly,Woman
63,38.0,"94,04235123974598",Afternoon,Anime,Science Fiction,0.0,Premium,Weekly,Woman
64,43.0,"173,52848712390346",Afternoon,Documentaries,Drama,0.0,Premium,Weekly,Man
65,61.0,"101,5267483228409",Night,Movies,Science Fiction,1.0,Family,Daily,Woman
66,55.0,"164,981459068556",Afternoon,Movies,Science Fiction,1.0,Family,Weekly,Man
67,43.0,"192,7490121667952",Afternoon,Documentaries,Drama,0.0,Family,Weekly,Man
68,57.0,"211,106942743534",Night,Movies,Science Fiction,1.0,,Weekly,Man
69,44.0,"114,10374481455771",Night,Documentaries,Science Fiction,1.0,Family,Weekly,Man
70,38.0,"177,36860436088136",Night,Documentaries,Science Fiction,0.0,Premium,Weekly,Man
71,34.0,"125,27274796994732",Night,Anime,Science Fiction,0.0,Premium,Weekly,Man
72,36.0,"82,99441607766478",Afternoon,Anime,Science Fiction,1.0,Premium,Weekly,Man
73,57.0,"178,75599012724211",Afternoon,Movies,Science Fiction,1.0,Family,Daily,Woman
74,33.0,"158,55470023683006",Night,Documentaries,Drama,0.0,,Weekly,Woman
75,39.0,"163,26775186807473",Night,Documentaries,Drama,0.0,Premium,Weekly,Man
76,63.0,"99,59237393931424",Night,Movies,Drama,1.0,Family,Weekly,Woman
77,45.0,"171,30207649779982",Late Night,Documentaries,Science Fiction,0.0,Family,Weekly,Man
78,56.0,"237,57909443252296",Afternoon,Movies,Science Fiction,0.0,Family,Weekly,Man
79,39.0,"143,98760538028515",Night,Anime,Horror,0.0,Family,Weekly,Man
80,34.0,"180,03821656834447",Afternoon,Movies,Science Fiction,1.0,Family,Weekly,Woman
81,41.0,"80,99771004303295",Night,Anime,Science Fiction,0.0,Free,Weekly,Man
82,61.0,"206,08433586715253",Night,Movies,Science Fiction,1.0,Family,Weekly,Man
83,36.0,"155,07086338876547",Night,Anime,Drama,0.0,Premium,Weekly,Man
84,45.0,"159,58240660964017",Afternoon,Documentaries,Horror,1.0,Family,Weekly,Woman
85,50.0,"117,77468690419238",Night,Movies,Drama,1.0,Premium,Weekly,Man
86,32.0,"210,93046576614577",Afternoon,Documentaries,Science Fiction,0.0,Family,Weekly,Woman
87,35.0,"78,7706642777819",Night,Anime,Science Fiction,1.0,Family,Weekly,Woman
88,36.0,"181,6168153722698",Afternoon,Documentaries,Drama,0.0,Family,Weekly,Woman
89,48.0,"206,60852857884927",Afternoon,Documentaries,Horror,1.0,Family,Weekly,Man
90,44.0,"190,50978090304548",Afternoon,Documentaries,Drama,0.0,Family,Occasional,Woman
91,54.0,"155,66373402207563",Night,Documentaries,Horror,1.0,Family,Weekly,Woman
92,40.0,"131,8962631168341",Afternoon,Documentaries,Drama,1.0,Premium,Weekly,Woman
93,54.0,"155,43120908708863",Night,Documentaries,Horror,1.0,Family,Weekly,Man
94,42.0,"178,90126233629917",Night,Documentaries,Drama,0.0,Premium,Weekly,Man
95,35.0,"186,0671102351007",Night,Documentaries,Science Fiction,0.0,Family,Weekly,Man
96,34.0,"81,68836933166813",Night,Anime,Science Fiction,1.0,Premium,Weekly,Man
97,39.0,"147,76340589150757",Night,Documentaries,Drama,0.0,Premium,Weekly,Man
98,29.0,"138,50867968108528",Night,Documentaries,Science Fiction,1.0,Family,Weekly,Woman
99,41.0,"179,5062176223362",Night,Documentaries,Science Fiction,0.0,Premium,Weekly,Man
100,61.0,"213,99930504490695",Afternoon,Movies,Science Fiction,1.0,Family,Weekly,Woman
101,33.0,"168,00415726555",Night,Documentaries,Drama,0.0,Premium,Weekly,Woman
102,46.0,"169,47499891869077",Night,Movies,Science Fiction,1.0,Family,Weekly,Woman
103,35.0,"175,61803945835155",Afternoon,Anime,Drama,0.0,Premium,Weekly,Man
104,43.0,"116,13777031681748",Night,Anime,Science Fiction,0.0,Premium,Weekly,Man
105,35.0,"148,00221072844113",Afternoon,Documentaries,Action,0.0,Premium,Weekly,Man
106,36.0,"59,37181301994546",Night,Documentaries,Science Fiction,1.0,Family,Weekly,Woman
107,36.0,"171,6456963725042",Afternoon,Documentaries,Science Fiction,0.0,Family,Weekly,Woman
108,31.0,nan,Night,Anime,Science Fiction,0.0,Premium,Weekly,Woman
109,62.0,"100,7160099505338",Night,Documentaries,Science Fiction,1.0,Family,Weekly,Man
110,51.0,"186,18431575977917",Night,Documentaries,Science Fiction,1.0,Family,Weekly,Man
111,37.0,"79,61915011767218",Afternoon,Anime,Science Fiction,0.0,Premium,Weekly,Man
112,61.0,"181,61457799268217",Late Night,Movies,Science Fiction,1.0,Family,Weekly,Man
113,41.0,"44,96624013157102",Night,Anime,Science Fiction,1.0,Premium,Weekly,Man
114,38.0,"91,86753859073627",Night,Anime,Science Fiction,0.0,Premium,Weekly,Woman
115,57.0,"197,21825536806432",Night,Movies,Science Fiction,1.0,Family,Daily,Woman
116,40.0,"166,79774504522445",Night,Documentaries,Science Fiction,0.0,Premium,Weekly,Man
117,43.0,"181,6763749427421",Night,Documentaries,Science Fiction,0.0,Family,Weekly,Woman
118,40.0,"184,53033713300223",Night,Documentaries,Drama,0.0,Premium,Weekly,Man
119,47.0,"152,632033172787",Night,Anime,Horror,0.0,Premium,Weekly,Woman
120,29.0,"181,7707897751144",Afternoon,Movies,Drama,0.0,Family,Weekly,Man
121,40.0,"101,23190985109676",Afternoon,Anime,Science Fiction,1.0,Premium,Weekly,Man
122,53.0,"122,9412638826948",Afternoon,Anime,Horror,1.0,Family,Occasional,Man
123,28.0,"134,45793108033354",Afternoon,Anime,Horror,0.0,Premium,Occasional,Woman
124,53.0,"133,23643002980344",Night,Documentaries,Horror,0.0,,Weekly,Woman
125,27.0,"94,78649958546904",Afternoon,Documentaries,Science Fiction,1.0,Premium,Weekly,Woman
126,50.0,"103,09788755063794",Night,Anime,Science Fiction,0.0,Premium,Weekly,Woman
127,49.0,"97,35277562747422",Afternoon,Anime,Science Fiction,1.0,Premium,Weekly,Woman
128,57.0,"217,08047141697045",Night,Movies,Science Fiction,1.0,Family,Weekly,Woman
129,64.0,"235,7346266814116",Afternoon,Movies,Science Fiction,1.0,Family,Weekly,Man
130,41.0,"174,8525396167303",Afternoon,Documentaries,Drama,0.0,Premium,Weekly,Woman
131,54.0,"178,66513061940572",Night,Documentaries,Science Fiction,1.0,Family,Weekly,Woman
132,37.0,"199,6278697977492",Afternoon,Documentaries,Drama,0.0,Family,Weekly,Man
133,39.0,"43,13514484123522",Afternoon,Anime,Science Fiction,1.0,Family,Weekly,Woman
134,36.0,"149,7262051035164",Night,Documentaries,Horror,1.0,Family,Weekly,Man
135,47.0,"133,86529663276988",Afternoon,Documentaries,Drama,1.0,Premium,Weekly,Man
136,39.0,"171,98481508435353",Night,Documentaries,Drama,0.0,Premium,Weekly,Woman
137,23.0,"153,3908006526644",Afternoon,Anime,Science Fiction,0.0,,Weekly,Man
138,42.0,"185,7398863080349",Afternoon,Documentaries,Drama,0.0,Premium,Weekly,Woman
139,34.0,"140,35923494946644",Afternoon,Anime,Horror,0.0,Family,Weekly,Man
140,55.0,"166,02688454068888",Afternoon,Movies,Horror,1.0,Family,Weekly,Man
141,31.0,"119,17619650716644",Night,Anime,Science Fiction,0.0,Premium,Weekly,Man
142,40.0,"144,66886366935424",Night,Documentaries,Horror,1.0,Family,Weekly,Man
143,58.0,"140,75090563915987",Afternoon,Movies,Horror,1.0,,Weekly,Woman
144,35.0,"129,78263756185825",Night,Anime,Science Fiction,0.0,Family,Weekly,Woman
145,44.0,"159,2809231318429",Afternoon,Documentaries,Horror,0.0,Premium,Weekly,Woman
146,57.0,"164,40005779253897",Afternoon,Movies,Horror,1.0,Family,Weekly,Man
147,30.0,"173,44476544359594",Night,Anime,Science Fiction,0.0,Family,Weekly,Man
148,37.0,"89,05322506918964",Afternoon,Anime,Science Fiction,0.0,Premium,Weekly,Man
149,36.0,"154,4380999600706",Afternoon,Documentaries,Drama,0.0,Premium,Weekly,Man
150,65.0,"186,06818994782435",Afternoon,Movies,Science Fiction,1.0,Family,Weekly,Woman
151,49.0,"139,811708723574",Night,Documentaries,Horror,1.0,Family,Weekly,Woman
152,54.0,"199,60402978050016",Night,Documentaries,Science Fiction,1.0,Family,Weekly,Man
153,61.0,"158,7088079907421",Afternoon,Movies,Science Fiction,1.0,Family,Daily,Woman
154,61.0,"123,8590898293824",Night,Movies,Science Fiction,1.0,Family,Weekly,Man
155,47.0,"133,51969583652465",Afternoon,Documentaries,Science Fiction,1.0,Family,Weekly,Man
156,50.0,"72,16642738195983",Night,Documentaries,Science Fiction,1.0,Premium,Weekly,Man
157,34.0,"122,71387119763732",Afternoon,Documentaries,Horror,1.0,Family,Weekly,Man
158,59.0,"140,83555611613326",Afternoon,Movies,Science Fiction,1.0,Family,Weekly,Woman
159,58.0,"168,99311245994187",Afternoon,Movies,Science Fiction,1.0,Family,Weekly,Man
160,61.0,"233,9164743946931",Night,Movies,Science Fiction,1.0,Family,Weekly,Man
161,38.0,"159,964261249111",Late Night,Documentaries,Drama,0.0,Premium,Weekly,Woman
162,35.0,"183,4816968801129",Afternoon,Anime,Horror,0.0,Family,Weekly,Man
163,41.0,"108,10049763045086",Night,Anime,Science Fiction,1.0,Premium,Weekly,Woman
164,49.0,"159,28473783511888",Night,Documentaries,Science Fiction,1.0,Family,Weekly,Man
165,38.0,"152,95345573490903",Afternoon,Documentaries,Drama,0.0,Premium,Weekly,Woman
166,34.0,"186,8551265996571",Night,Documentaries,Science Fiction,0.0,Family,Weekly,Man
167,36.0,"83,43923403991785",Night,Anime,Science Fiction,1.0,Premium,Weekly,Woman
168,39.0,"176,96229292826987",Night,Documentaries,Drama,0.0,Premium,Weekly,Woman
169,46.0,"146,67701304083133",Afternoon,Documentaries,Drama,1.0,Premium,Weekly,Man
170,49.0,"113,72922174568502",Afternoon,Anime,Science Fiction,0.0,Premium,Occasional,Woman
171,52.0,"139,08311048919995",Afternoon,Documentaries,Horror,0.0,Premium,Weekly,Man
172,38.0,"200,0561955236472",Night,Documentaries,Science Fiction,0.0,Family,Weekly,Woman
173,53.0,"182,26439805863149",Night,Movies,Science Fiction,1.0,Family,Weekly,Man
174,55.0,"102,23960645523572",Afternoon,Documentaries,Horror,1.0,Family,Weekly,Man
175,45.0,"105,54452757185408",Afternoon,Documentaries,Science Fiction,1.0,Premium,Weekly,Man
176,41.0,"136,01490050058354",Night,Documentaries,Science Fiction,1.0,Family,Weekly,Woman
177,41.0,"178,43456246438942",Night,Documentaries,Drama,0.0,Premium,Weekly,Man
178,42.0,"143,1866430440963",Afternoon,Documentaries,Science Fiction,1.0,Family,Weekly,Man
179,62.0,"237,03153926416977",Afternoon,Movies,Horror,1.0,Family,Weekly,Man
180,49.0,"194,2768809851761",Night,Movies,Science Fiction,1.0,Family,Weekly,Woman
181,46.0,"89,05748341172693",Night,Anime,Science Fiction,1.0,Premium,Weekly,Man
182,48.0,"58,39222584700034",Night,Anime,Science Fiction,1.0,Premium,Weekly,Man
183,38.0,"203,0051166750589",Afternoon,Documentaries,Science Fiction,0.0,Family,Weekly,Woman
184,26.0,"82,00921672127372",Afternoon,Anime,Science Fiction,0.0,,Weekly,Man
185,54.0,"154,61218166090111",Afternoon,Documentaries,Science Fiction,1.0,Family,Weekly,Woman
186,51.0,"123,04855077199971",Night,Documentaries,Science Fiction,1.0,Family,Weekly,Woman
187,40.0,"149,18989952292495",Night,Anime,Horror,0.0,Family,Weekly,Man
188,47.0,"167,49661609378666",Morning,Documentaries,Science Fiction,0.0,Family,Weekly,Woman
189,34.0,"157,0028396280921",Afternoon,Anime,Science Fiction,0.0,Premium,Weekly,Man
190,39.0,"161,96292962137545",Night,Documentaries,Drama,0.0,Premium,Weekly,Woman
191,45.0,"91,44122015838232",Night,Anime,Science Fiction,1.0,Premium,Weekly,Woman
192,29.0,"157,35976447148508",Afternoon,Anime,Horror,0.0,Premium,Weekly,Man
193,41.0,"151,28012589609713",Afternoon,Anime,Horror,0.0,Premium,Weekly,Woman
194,42.0,"136,82071844797957",Afternoon,Anime,Science Fiction,0.0,Premium,Weekly,Man
195,38.0,"77,17986500634048",Night,Anime,Science Fiction,1.0,Premium,Weekly,Man
196,40.0,"84,65308373871204",Night,Anime,Science Fiction,1.0,Premium,Weekly,Woman
197,46.0,"163,75875467402165",Afternoon,Documentaries,Drama,0.0,Premium,Weekly,Man
198,29.0,nan,Afternoon,Anime,Science Fiction,0.0,Premium,Weekly,Woman
199,53.0,nan,Afternoon,Documentaries,Horror,1.0,Family,Daily,Man
200,58.0,"238,83767564691675",Night,Movies,Science Fiction,0.0,Family,Weekly,Woman
201,39.0,"114,6494838853094",Afternoon,Anime,Science Fiction,0.0,Premium,Weekly,Woman
202,55.0,"158,6846805216664",Afternoon,Movies,Science Fiction,1.0,Family,Weekly,Man
203,59.0,"149,92580270684996",Night,Movies,Science Fiction,1.0,Family,Weekly,Man
204,49.0,"136,01052554133304",Late Night,Documentaries,Horror,1.0,Family,Weekly,Man
205,37.0,"127,65581114475285",Night,Anime,Horror,0.0,Premium,Occasional,Man
206,37.0,"216,29028694057493",Night,Documentaries,Science Fiction,0.0,Family,Weekly,Woman
207,30.0,"123,07347885152372",Night,Anime,Science Fiction,0.0,Premium,Weekly,Woman
208,40.0,"111,87770187001738",Night,Anime,Science Fiction,1.0,Family,Weekly,Man
209,37.0,"88,78763389441887",Morning,Documentaries,Science Fiction,1.0,,Weekly,Woman
210,36.0,"88,28939058594592",Night,Anime,Science Fiction,1.0,Premium,Weekly,Man
211,34.0,"123,70467848876868",Night,Anime,Science Fiction,0.0,Family,Weekly,Woman
212,38.0,"130,88322414056714",Night,Documentaries,Drama,0.0,Premium,Weekly,Man
213,47.0,"122,38457084887648",Afternoon,Anime,Horror,0.0,Premium,Weekly,Woman
214,44.0,"130,63916944076237",Night,Documentaries,Drama,1.0,Premium,Weekly,Woman
215,55.0,"222,10397461032943",Afternoon,Movies,Science Fiction,0.0,Family,Weekly,Woman
216,51.0,"151,60472641199507",Night,Anime,Horror,1.0,Family,Weekly,Woman
217,53.0,"161,28457345939842",Night,Documentaries,Horror,1.0,Family,Weekly,Woman
218,43.0,"155,6507923912129",Afternoon,Documentaries,Drama,0.0,Premium,Weekly,Woman
219,52.0,"160,56450916650743",Afternoon,Documentaries,Science Fiction,1.0,Family,Weekly,Woman
220,29.0,"178,70549896524776",Night,Documentaries,Drama,0.0,Premium,Weekly,Man
221,46.0,"191,36702378518623",Night,Movies,Drama,0.0,Family,Weekly,Man
222,36.0,"114,22557178480564",Night,Anime,Science Fiction,0.0,Family,Weekly,Man
223,51.0,"118,7538199382134",Afternoon,Documentaries,Horror,1.0,Family,Daily,Woman
224,37.0,"71,49845957292196",Afternoon,Anime,Science Fiction,1.0,,Weekly,Woman
225,36.0,"44,2522812033399",Night,Anime,Science Fiction,1.0,Premium,Weekly,Man
226,42.0,"47,66700031317155",Night,Anime,Science Fiction,1.0,Premium,Weekly,Man
227,56.0,"179,1085149063066",Night,Movies,Science Fiction,1.0,Family,Weekly,Woman
228,59.0,"129,97638744649063",Afternoon,Movies,Science Fiction,1.0,Family,Daily,Woman
229,35.0,"90,19192765327412",Night,Anime,Science Fiction,1.0,Premium,Weekly,Woman
230,51.0,"144,23765323125713",Afternoon,Anime,Horror,0.0,Premium,Weekly,Man
231,27.0,"127,84051736857256",Night,Anime,Drama,0.0,Free,Weekly,Man
232,46.0,"164,33280027277974",Night,Movies,Drama,1.0,Family,Weekly,Man
233,57.0,"198,3126489285833",Night,Movies,Science Fiction,1.0,Family,Daily,Man
234,45.0,"86,17835256142955",Afternoon,Anime,Science Fiction,1.0,Premium,Weekly,Man
235,52.0,"171,58230579145615",Night,Movies,Science Fiction,1.0,Family,Daily,Man
236,39.0,"201,5128457272681",Afternoon,Documentaries,Drama,0.0,Family,Weekly,Woman
237,54.0,"223,8990019847305",Afternoon,Movies,Science Fiction,0.0,Family,Daily,Woman
238,45.0,"110,65322085344934",Afternoon,Anime,Science Fiction,1.0,,Weekly,Man
239,52.0,"181,1476289960957",Night,Documentaries,Science Fiction,1.0,Family,Weekly,Man
240,56.0,nan,Night,Movies,Science Fiction,0.0,Family,Weekly,Woman
241,32.0,"119,42431458736478",Afternoon,Anime,Science Fiction,0.0,Family,Weekly,Woman
242,37.0,"190,995103116184",Afternoon,Documentaries,Drama,0.0,Premium,Weekly,Woman
243,47.0,"120,30129961003462",Afternoon,Anime,Science Fiction,0.0,Premium,Weekly,Man
244,58.0,"161,77361826814294",Night,Movies,Science Fiction,1.0,Family,Weekly,Woman
245,39.0,"175,770188883286",Afternoon,Documentaries,Drama,0.0,Premium,Weekly,Man
246,34.0,"164,84955181069552",Afternoon,Documentaries,Drama,0.0,Premium,Weekly,Man
247,40.0,"187,29255381091804",Night,Documentaries,Drama,0.0,Premium,Weekly,Woman
248,40.0,"142,93960221491767",Night,Documentaries,Horror,1.0,Family,Weekly,Woman
249,48.0,"122,6957667831657",Night,Anime,Science Fiction,0.0,Premium,Weekly,Woman
250,60.0,"156,76104885718655",Afternoon,Movies,Science Fiction,1.0,Family,Weekly,Woman
251,40.0,"88,87158016556089",Night,Anime,Science Fiction,1.0,Premium,Weekly,Woman
252,58.0,"160,5302479654152",Night,Movies,Science Fiction,1.0,Family,Daily,Man
253,43.0,"116,0841149469746",Night,Documentaries,Horror,1.0,Family,Weekly,Woman
254,43.0,"146,79007767336748",Night,Documentaries,Science Fiction,1.0,Family,Weekly,Woman
255,47.0,"145,3002630310146",Night,Documentaries,Horror,1.0,Family,Weekly,Man
256,40.0,"176,98019683719835",Night,Documentaries,Drama,0.0,Premium,Weekly,Man
257,36.0,"148,9790889307761",Afternoon,Documentaries,Science Fiction,0.0,Family,Weekly,Man
258,44.0,"61,81919626462888",Night,Anime,Science Fiction,1.0,Family,Occasional,Man
259,29.0,"195,62335562361812",Afternoon,Documentaries,Drama,0.0,Premium,Weekly,Woman
260,39.0,"191,2451328363061",Night,Documentaries,Drama,0.0,Premium,Weekly,Man
261,32.0,"82,80927885416527",Night,Anime,Science Fiction,1.0,Premium,Weekly,Woman
262,39.0,"150,42291293806275",Late Night,Documentaries,Drama,0.0,Premium,Weekly,Woman
263,37.0,"66,34596712093858",Afternoon,Anime,Science Fiction,1.0,Premium,Weekly,Woman
264,39.0,"113,93907921604128",Afternoon,Anime,Science Fiction,1.0,Premium,Weekly,Man
265,59.0,"99,0933690647121",Night,Movies,Drama,1.0,Family,Weekly,Woman
266,36.0,"168,73476537179002",Afternoon,Documentaries,Drama,0.0,Premium,Weekly,Woman
267,34.0,nan,Night,Documentaries,Science Fiction,1.0,,Weekly,Man
268,49.0,"148,63226682989324",Night,Documentaries,Horror,1.0,Family,Weekly,Woman
269,45.0,"89,53943401595922",Night,Documentaries,Science Fiction,1.0,Family,Weekly,Woman
270,39.0,"102,51119141780774",Afternoon,Documentaries,Horror,1.0,Family,Weekly,Woman
271,54.0,"153,00020753510375",Night,Documentaries,Horror,1.0,Family,Daily,Man
272,36.0,"115,09241683486115",Afternoon,Anime,Science Fiction,1.0,Family,Weekly,Man
273,27.0,"164,8228904039066",Night,Anime,Drama,0.0,Free,Occasional,Man
274,41.0,"185,43749921787148",Afternoon,Documentaries,Science Fiction,0.0,Premium,Occasional,Woman
275,45.0,"210,4370912150636",Night,Documentaries,Science Fiction,0.0,Family,Weekly,Man
276,60.0,"171,00187275153405",Night,Movies,Horror,1.0,Family,Weekly,Woman
277,52.0,"199,7046670015335",Afternoon,Documentaries,Science Fiction,1.0,Family,Weekly,Man
278,34.0,"152,52100644464463",Night,Documentaries,Science Fiction,0.0,Family,Weekly,Man
279,28.0,"199,72601332090787",Night,Documentaries,Science Fiction,0.0,Family,Weekly,Woman
280,41.0,"195,11130990494672",Afternoon,Documentaries,Science Fiction,0.0,Family,Weekly,Woman
281,43.0,"92,03520402736731",Afternoon,Anime,Science Fiction,1.0,Family,Weekly,Woman
282,32.0,"83,47606508780416",Night,Documentaries,Science Fiction,1.0,Family,Weekly,Man
283,36.0,"183,4456328877735",Afternoon,Documentaries,Drama,0.0,Premium,Weekly,Man
284,43.0,nan,Afternoon,Movies,Science Fiction,1.0,Family,Weekly,Woman
285,53.0,nan,Afternoon,Movies,Science Fiction,0.0,Family,Weekly,Woman
286,58.0,nan,Afternoon,Movies,Science Fiction,1.0,Family,Weekly,Woman
287,45.0,"113,43758992719732",Afternoon,Anime,Science Fiction,0.0,Premium,Weekly,Man
288,31.0,"180,9704688044425",Night,Anime,Horror,0.0,Family,Weekly,Woman
289,41.0,"170,26184624036688",Night,Documentaries,Drama,0.0,Premium,Occasional,Woman
290,35.0,"132,94793782003845",Night,Documentaries,Horror,1.0,Family,Weekly,Man
291,39.0,"95,18388883709092",Night,Anime,Science Fiction,1.0,Family,Weekly,Man
292,35.0,"67,70484558300126",Afternoon,Anime,Science Fiction,1.0,Premium,Weekly,Woman
293,30.0,"218,83106107016437",Night,Documentaries,Science Fiction,0.0,Family,Weekly,Man
294,45.0,"129,36971918256455",Afternoon,Documentaries,Drama,1.0,Premium,Weekly,Man
295,32.0,"151,3370203171868",Night,Documentaries,Drama,0.0,Premium,Weekly,Man
296,33.0,"121,789567598527",Night,Anime,Science Fiction,0.0,Premium,Weekly,Woman
297,49.0,nan,Afternoon,Anime,Horror,1.0,Family,Weekly,Man
298,34.0,"104,92486199160224",Night,Anime,Science Fiction,0.0,Premium,Weekly,Man
299,53.0,"196,05616749324457",Night,Movies,Science Fiction,1.0,Family,Weekly,Woman
300,41.0,"156,56005904515217",Afternoon,Documentaries,Drama,0.0,Premium,Weekly,Woman
301,45.0,"146,88867313190394",Afternoon,Anime,Horror,0.0,Family,Weekly,Woman
302,45.0,"186,95657315203715",Afternoon,Documentaries,Drama,0.0,Family,Weekly,Man
303,56.0,"182,19432804400688",Afternoon,Documentaries,Science Fiction,1.0,Family,Weekly,Man
304,52.0,"102,14738891530956",Night,Documentaries,Science Fiction,1.0,Family,Weekly,Man
